"Tiempo(seg)","Yaw(deg)","Pitch(deg)","Roll(deg)","Yaw_Rate(rad/s)","Velocidad_del_Cuerpo_Eje_X(m/s)","Velocidad_del_Cuerpo_Eje_Y(m/s)","Velocidad_del_Cuerpo_Eje_Z(m/s)","Velocidad_NED_Norte(m/s)","Velocidad_NED_Este(m/s)","Velocidad_NED_Down(m/s)","Fuerza_Motor_Izquierdo(kg)","Fuerza_Motor_Derecho(kg)","Lontigud(deg)","Latitud(deg)"
"84","155.294","2.968","1.368","6.7155237251694","0.9464259667389","-0.39606498094352","-0.030764391134778","-0.68711487060705","-0.0019187519204544","-0.089161514694142","6.9222620831887","1.6902119546234","-72.19477598","-16.38857377"
"85","161.381","3.162","1.939","7.0520218382497","0.94662768028341","-0.31309952804046","-0.037664141116954","-0.79295988110925","-0.012727943951952","-0.10037833156663","6.9222620831887","1.6902119546234","-72.19477313","-16.38858108"
"86","167.333","3.054","2.432","6.6092973499521","0.95626886926531","-0.19711802390305","-0.036080994322351","-0.88844592358428","0.01072350527598","-0.095297109001156","6.9222620831887","1.6902119546234","-72.19477103","-16.38858848"
"87","173.513","3.038","1.925","6.8678732028946","0.97371499891223","-0.084558492095182","-0.041871235810469","-0.95843276289205","0.023796471852367","-0.096230430063121","6.9222620831887","1.6902119546234","-72.19476953","-16.38859623"
"88","179.755","3.261","1.51","7.1894744133016","0.96416408526231","-0.013767324016479","-0.030572290597036","-0.96427379488913","-0.01043726453554","-0.085720345921719","6.9222620831887","1.6902119546234","-72.19476908","-16.38860398"
"89","-174.069","3.35","2.068","6.9677397465859","0.97338633421935","0.085132700778764","-0.062989692331342","-0.96064290536643","-0.017376260086021","-0.11665433514193","6.9222620831887","1.6902119546234","-72.19476953","-16.38861194"
"90","-168.314","3.301","1.786","6.7070439498014","0.97769715884722","0.19181279479904","-0.06283802880275","-0.91796495035625","-0.007555587483394","-0.11303229344784","6.9222620831887","1.6902119546234","-72.1947707","-16.38861971"
"91","-162.207","3.286","1.689","6.7378117833999","0.95593534457288","0.27635267289912","-0.061261021363026","-0.82248374050777","-0.016644387452376","-0.10779610083189","6.9222620831887","1.6902119546234","-72.19477265","-16.38862725"
"92","-156.244","3.397","1.512","6.2190557956885","0.95871408549882","0.35585731507804","-0.046185326472121","-0.72687360306516","-0.030661326122141","-0.093522604089012","6.9222620831887","1.6902119546234","-72.19477556","-16.38863427"
"93","-150.668","3.722","1.856","6.2899879707257","0.96451260596413","0.44522944731839","-0.021417937711278","-0.60962308547049","-0.027813951921368","-0.069583825538793","6.9222620831887","1.6902119546234","-72.19477936","-16.38864136"
"94","-145.232","3.175","1.815","5.9906175227698","0.96836104081909","0.53297132773122","-0.025974390924204","-0.47736335148918","-0.019867697527782","-0.062700421791478","6.9222620831887","1.6902119546234","-72.1947836","-16.38864801"
"95","-139.686","3.36","1.625","6.3239070721974","0.97459909176045","0.60868673902134","-0.0083084718954376","-0.33083635754592","-0.022581648372989","-0.048180232954442","6.9222620831887","1.6902119546234","-72.19478853","-16.38865427"
"96","-134.078","3.33","1.739","5.8176415644198","1.0134623522247","0.70725642147783","-0.0026833128909543","-0.17547657056081","-0.021938704110887","-0.04011968249254","6.9222620831887","1.6902119546234","-72.1947944","-16.38866003"
"97","-128.377","3.296","1.866","6.9166319112603","1.0175268525129","0.80387625225259","0.016801616161308","0.021854206969725","0.0041606042917634","-0.015604506396074","6.9222620831887","1.6902119546234","-72.19480073","-16.38866514"
"98","-122.118","3.355","1.713","6.4338003773035","0.93333316612599","0.77665331966543","0.0094719092073461","0.18264801785778","-0.015630064781785","-0.02199265593745","6.9222620831887","1.6902119546234","-72.19480751","-16.38866995"
"99","-116.528","3.238","1.774","6.2635746163702","0.95334696959781","0.83878091584312","0.010442088018069","0.34389938854832","-0.016268114209983","-0.017503278920839","6.9222620831887","1.6902119546234","-72.19481479","-16.38867383"
"100","-111.112","3.278","1.917","5.846690524633","0.95728109551577","0.8851390162059","0.01783073758965","0.49784096536478","-0.01068444159425","-0.0073854130864805","6.9222620831887","1.6902119546234","-72.19482238","-16.38867694"
"101","-105.731","3.183","1.85","6.0193227083059","0.94439005783021","0.91810938341567","0.012156640876212","0.64072069862784","0.0064723677608485","-0.010712360043061","6.9222620831887","1.6902119546234","-72.19482988","-16.38867935"
"102","-99.912","3.132","1.631","6.479637000914","0.93713139106345","0.92124652186696","0.040012476973643","0.75384432127324","-0.0056342647149507","0.0149167429195","6.9222620831887","1.6902119546234","-72.1948379","-16.38868102"
"103","-93.533","3.29","2.198","7.6840515820585","0.91525948471809","0.92289631732734","0.019502124847866","0.86673619293462","0.005585282448741","0.0022665532305663","6.9222620831887","1.6902119546234","-72.19484567","-16.38868185"
"104","-86.863","3.299","1.605","7.4137873900953","0.89811275749645","0.91196081986348","0.0019819180928671","0.9563743021551","0.01322689270842","-0.024204816809295","6.9222620831887","1.6902119546234","-72.19485313","-16.38868199"
"105","-80.302","3.371","1.661","7.1516019030434","0.88873204855165","0.85953940912197","0.02007840713605","0.98718749157028","-0.019529454103872","-0.0073518097505924","6.9222620831887","1.6902119546234","-72.19486066","-16.38868118"
"106","-73.672","3.232","2.159","7.5247693150121","0.88579837817287","0.85518135801297","0.0028621352521431","1.0555841834213","0.0025665862244187","-0.014919205192452","6.9222620831887","1.6902119546234","-72.19486782","-16.38867946"
"107","-67.066","3.508","1.597","7.206835034494","0.90152155270439","0.8306573308522","0.00024334915761233","1.0970864890222","-0.0012465092747402","-0.031812955108773","6.9222620831887","1.6902119546234","-72.19487502","-16.38867712"
"108","-60.31","3.371","1.758","6.8281672276921","0.90400009982587","0.76965062551429","-0.0045844090107134","1.0960601614823","-0.016907409394918","-0.03415998865675","6.9222620831887","1.6902119546234","-72.19488182","-16.38867369"
"109","-53.841","3.121","2.012","7.6266985067659","0.91501806170434","0.72982977670927","-0.027499394300523","1.1107074996668","-0.0087246515356463","-0.051674198304803","6.9222620831887","1.6902119546234","-72.19488812","-16.38866959"
"110","-47.145","3.278","1.813","7.4174543199841","0.89997541046352","0.65662311777153","-0.020799974518706","1.0747975548643","-0.0030032476700398","-0.051476809322726","6.9222620831887","1.6902119546234","-72.1948939","-16.38866507"
"111","-40.811","3.29","1.579","6.6323302533164","0.89921842115611","0.57715713571158","-0.010288817481298","1.0407836786336","-0.010738974481713","-0.045996405652004","6.9222620831887","1.6902119546234","-72.1948989","-16.38865992"
"112","-34.589","3.216","1.872","6.5414591470086","0.91473348973758","0.49708199979797","-0.008396602088698","1.021410610506","-0.022453104151093","-0.043483264760574","6.9222620831887","1.6902119546234","-72.19490351","-16.38865405"
"113","-28.549","3.24","1.8","6.157806607389","0.93174667444602","0.43102592601808","-0.02747560958827","1.0145852725357","-0.013320649859622","-0.066561901524785","6.9222620831887","1.6902119546234","-72.19490744","-16.38864763"
"114","-22.537","3.12","1.811","6.5479908658731","0.92447862151942","0.33229203849188","-0.054038467475301","0.97687703772274","-0.019690152561813","-0.093762608312199","6.9222620831887","1.6902119546234","-72.19491081","-16.38864085"
"115","-17.568","2.824","1.975","4.4968019593048","0.83518489717928","0.24315216061293","-0.074159943279375","0.86941867094677","-0.0056571975892606","-0.10680421206155","6.9222620831887","1.6902119546234","-72.19491335","-16.38863403"
"116","-14.915","3.052","1.94","2.1299706033988","0.73514345377753","0.18995098834231","-0.069083958043048","0.75986944025349","0.0037437018567109","-0.10166585590466","6.9222620831887","1.6902119546234","-72.19491525","-16.38862797"
"117","-13.699","3.17","1.662","1.1088452209167","0.65671568659991","0.14784557640686","-0.052258417052035","0.67334049699061","-0.005628486189765","-0.084190588069167","6.9222620831887","1.6902119546234","-72.19491681","-16.38862246"
"118","-13.03","3.181","1.865","0.88602193439031","0.61424446646788","0.12049331001038","-0.040750959158757","0.62569135912243","-0.016278408812802","-0.070835923074399","6.9222620831887","1.6902119546234","-72.19491802","-16.3886175"
